,cvTerm,dataRating,deviceCategoryCode,deviceCode,deviceId,deviceLink,deviceName,hasDeviceData
0,{'device': []},"[{'dateFrom': '2015-09-01T19:12:11.000Z', 'dateTo': None, 'samplePeriod': 3600.0, 'sampleSize': 1}]",TARRAY,3DTEMPARRAY01,23624,http://data.oceannetworks.ca/DeviceListing?DeviceId=23624,3D Temperature Array 01,True
1,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0836/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2008-11-01T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 3.0, 'sampleSize': 1}]",OXYSENSOR,AA02_3830_910,12110,http://data.oceannetworks.ca/DeviceListing?DeviceId=12110,Aanderaa Optode 3830 (S/N 910),True
2,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0836/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-09-11T00:03:38.000Z', 'dateTo': None, 'samplePeriod': 2.0, 'sampleSize': 1}]",OXYSENSOR,AANDERAA3830SN871,23610,http://data.oceannetworks.ca/DeviceListing?DeviceId=23610,Aanderaa Optode 3830 (S/N 871),True
3,{'device': []},"[{'dateFrom': '2016-08-16T17:42:41.000Z', 'dateTo': None, 'samplePeriod': 30.0, 'sampleSize': 1}]",CO2SENSOR,AANDERAA4797PCO2OPTODE33,22670,http://data.oceannetworks.ca/DeviceListing?DeviceId=22670,Aanderaa Optode 4797 pCO2 (S/N 33),True
4,{'device': []},"[{'dateFrom': '2016-08-01T21:00:29.000Z', 'dateTo': None, 'samplePeriod': 120.0, 'sampleSize': 1}]",CO2SENSOR,AANDERAA4797PCO2OPTODE43,23603,http://data.oceannetworks.ca/DeviceListing?DeviceId=23603,Aanderaa Optode 4797 pCO2 (S/N 43),True
5,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0103/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2013-08-15T23:31:51.000Z', 'dateTo': None, 'samplePeriod': 5.0, 'sampleSize': 1}]",OXYSENSOR,AANDERAAO2224,23199,http://data.oceannetworks.ca/DeviceListing?DeviceId=23199,Aanderaa Optode 3835 (S/N 224),True
6,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0101/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2006-02-09T00:00:00.000Z', 'dateTo': '2015-08-18T20:32:14.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2015-08-18T20:32:14.000Z', 'dateTo': '2017-06-22T00:00:00.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2017-06-22T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 600.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt0018,13,http://data.oceannetworks.ca/DeviceListing?DeviceId=13,Aanderaa Optode 4175 (S/N 18),True
7,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0103/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2006-12-12T00:00:00.000Z', 'dateTo': '2015-01-06T23:23:45.000Z', 'samplePeriod': 3600.0, 'sampleSize': 1}, {'dateFrom': '2015-01-06T23:23:45.000Z', 'dateTo': '2017-03-14T18:18:55.000Z', 'samplePeriod': 10.0, 'sampleSize': 0}, {'dateFrom': '2017-03-14T18:18:55.000Z', 'dateTo': '2018-08-08T00:00:00.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2018-08-08T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 0}]",OXYSENSOR,AandOpt0418,29,http://data.oceannetworks.ca/DeviceListing?DeviceId=29,Aanderaa Optode 3835 (S/N 418),True
8,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0101/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2007-09-11T19:30:00.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt0579,34,http://data.oceannetworks.ca/DeviceListing?DeviceId=34,Aanderaa Optode 4175 (S/N 579),True
9,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0101/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2007-02-14T00:00:00.000Z', 'dateTo': '2010-04-09T00:00:00.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2010-04-09T00:00:00.000Z', 'dateTo': '2011-12-10T17:27:38.000Z', 'samplePeriod': 600.0, 'sampleSize': 1}, {'dateFrom': '2011-12-10T17:27:38.000Z', 'dateTo': '2015-08-19T00:05:36.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2015-08-19T00:05:36.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt0580,1102,http://data.oceannetworks.ca/DeviceListing?DeviceId=1102,Aanderaa Optode 4175 (S/N 0580),True
10,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0101/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2008-09-09T19:30:00.000Z', 'dateTo': None, 'samplePeriod': 60.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt0581,22603,http://data.oceannetworks.ca/DeviceListing?DeviceId=22603,Aanderaa Optode 4175 (S/N 0581),True
11,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0101/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2009-09-25T16:54:57.000Z', 'dateTo': '2010-12-11T00:00:00.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2010-12-11T00:00:00.000Z', 'dateTo': '2011-12-10T17:26:13.000Z', 'samplePeriod': 300.0, 'sampleSize': 1}, {'dateFrom': '2011-12-10T17:26:13.000Z', 'dateTo': '2014-09-11T00:00:00.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2014-09-11T00:00:00.000Z', 'dateTo': '2015-03-11T00:00:00.000Z', 'samplePeriod': 0.25, 'sampleSize': 1}, {'dateFrom': '2015-03-11T00:00:00.000Z', 'dateTo': '2016-05-03T22:28:56.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2016-05-03T22:28:56.000Z', 'dateTo': '2018-09-25T20:57:07.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2018-09-25T20:57:07.000Z', 'dateTo': None, 'samplePeriod': 0.25, 'sampleSize': 1}]",OXYSENSOR,AandOpt0793,3,http://data.oceannetworks.ca/DeviceListing?DeviceId=3,Aanderaa Optode 4175C (S/N 0793),True
12,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0103/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2013-11-15T00:00:00.000Z', 'dateTo': '2017-06-22T00:00:00.000Z', 'samplePeriod': 10.0, 'sampleSize': 0}, {'dateFrom': '2017-06-22T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt1415,23236,http://data.oceannetworks.ca/DeviceListing?DeviceId=23236,Aanderaa Optode 3835 (S/N 1415),True
13,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0103/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2012-05-07T00:00:00.000Z', 'dateTo': '2018-12-04T00:00:00.000Z', 'samplePeriod': 10.0, 'sampleSize': 0}, {'dateFrom': '2018-12-04T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 0}]",OXYSENSOR,AandOpt1416,509,http://data.oceannetworks.ca/DeviceListing?DeviceId=509,Aanderaa Optode 3835 (S/N 1416),True
14,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0103/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2014-08-25T20:40:12.000Z', 'dateTo': '2017-01-13T15:56:23.000Z', 'samplePeriod': 10.0, 'sampleSize': 0}, {'dateFrom': '2017-01-13T15:56:23.000Z', 'dateTo': '2022-11-14T00:00:00.000Z', 'samplePeriod': 1.0, 'sampleSize': 0}, {'dateFrom': '2022-11-14T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt1417,23325,http://data.oceannetworks.ca/DeviceListing?DeviceId=23325,Aanderaa Optode 3835 (S/N 1417),True
15,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0101/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2012-04-27T00:00:00.000Z', 'dateTo': '2016-04-01T16:13:01.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2016-04-01T16:13:01.000Z', 'dateTo': None, 'samplePeriod': 0.25, 'sampleSize': 1}]",OXYSENSOR,AandOpt1684,23091,http://data.oceannetworks.ca/DeviceListing?DeviceId=23091,Aanderaa Optode 4175 (S/N 1684),True
16,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0101/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2012-05-07T00:00:00.000Z', 'dateTo': '2012-09-06T20:45:44.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2012-09-06T20:45:44.000Z', 'dateTo': '2014-02-27T16:10:49.000Z', 'samplePeriod': 600.0, 'sampleSize': 1}, {'dateFrom': '2014-02-27T16:10:49.000Z', 'dateTo': '2016-02-22T19:51:03.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2016-02-22T19:51:03.000Z', 'dateTo': '2016-05-03T22:11:25.000Z', 'samplePeriod': 0.25, 'sampleSize': 1}, {'dateFrom': '2016-05-03T22:11:25.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt1685,23092,http://data.oceannetworks.ca/DeviceListing?DeviceId=23092,Aanderaa Optode 4175C (S/N 1685),True
17,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0101/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2013-10-23T00:00:00.000Z', 'dateTo': '2014-06-24T00:00:00.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2014-06-24T00:00:00.000Z', 'dateTo': '2015-08-18T20:32:26.000Z', 'samplePeriod': 600.0, 'sampleSize': 1}, {'dateFrom': '2015-08-18T20:32:26.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt1794,23202,http://data.oceannetworks.ca/DeviceListing?DeviceId=23202,Aanderaa Optode 4175C (S/N 1794),True
18,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0101/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2014-09-20T00:00:00.000Z', 'dateTo': '2015-08-26T00:00:00.000Z', 'samplePeriod': 60.0, 'sampleSize': 1}, {'dateFrom': '2015-08-26T00:00:00.000Z', 'dateTo': '2016-07-07T00:00:00.000Z', 'samplePeriod': 900.0, 'sampleSize': 1}, {'dateFrom': '2016-07-07T00:00:00.000Z', 'dateTo': '2018-08-31T00:00:00.000Z', 'samplePeriod': 600.0, 'sampleSize': 1}, {'dateFrom': '2018-08-31T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt1795,23204,http://data.oceannetworks.ca/DeviceListing?DeviceId=23204,Aanderaa Optode 4175C (S/N 1795),True
19,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0103/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-11-02T19:12:40.000Z', 'dateTo': '2016-12-21T19:21:47.000Z', 'samplePeriod': 10.0, 'sampleSize': 0}, {'dateFrom': '2016-12-21T19:21:47.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt1797,23203,http://data.oceannetworks.ca/DeviceListing?DeviceId=23203,Aanderaa Optode 3835 (S/N 1797),True
20,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2019-03-13T18:27:25.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A1099,30859,http://data.oceannetworks.ca/DeviceListing?DeviceId=30859,Aanderaa Optode 4531A (S/N 1099),True
21,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2019-03-13T21:39:05.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A1100,31679,http://data.oceannetworks.ca/DeviceListing?DeviceId=31679,Aanderaa Optode 4531A (S/N 1100),True
22,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2020-06-22T17:14:24.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A1215,43060,http://data.oceannetworks.ca/DeviceListing?DeviceId=43060,Aanderaa Optode 4531A (S/N 1215),True
23,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2020-04-06T18:56:37.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A1216,43061,http://data.oceannetworks.ca/DeviceListing?DeviceId=43061,Aanderaa Optode 4531A (S/N 1216),True
